Target Distance: 45, Step Size: 2
65: (x,y) = (17.8484,-4.16411)
66: (x,y) = (16.7382,-5.82769)
67: (x,y) = (14.9873,-4.86111)
68: (x,y) = (13.0935,-5.50435)
69: (x,y) = (13.5926,-3.56762)
70: (x,y) = (13.2842,-5.54369)
71: (x,y) = (11.6872,-6.74774)
72: (x,y) = (9.77188,-7.32355)
73: (x,y) = (11.3581,-6.10541)
74: (x,y) = (11.8057,-8.0547)
75: (x,y) = (10.0297,-8.9745)
76: (x,y) = (8.13599,-9.61775)
77: (x,y) = (9.99941,-8.89135)
78: (x,y) = (8.38139,-10.0669)
79: (x,y) = (9.80498,-11.4717)
80: (x,y) = (8.02094,-10.5677)
81: (x,y) = (6.86694,-8.93423)
82: (x,y) = (8.78228,-9.50998)
83: (x,y) = (9.80263,-7.78984)
84: (x,y) = (11.2509,-9.16919)
85: (x,y) = (13.1898,-9.6597)
86: (x,y) = (12.0943,-7.98638)
87: (x,y) = (10.6339,-6.6199)
88: (x,y) = (12.5729,-7.11041)
89: (x,y) = (14.0332,-5.74389)
90: (x,y) = (15.9212,-5.0839)
91: (x,y) = (14.3678,-6.34373)
92: (x,y) = (12.4247,-5.8704)
93: (x,y) = (10.4734,-5.43155)
94: (x,y) = (12.0268,-6.69133)
95: (x,y) = (10.5074,-5.39075)
96: (x,y) = (8.5077,-5.35541)
97: (x,y) = (8.1295,-7.31933)
98: (x,y) = (6.79563,-5.8291)
99: (x,y) = (7.10413,-7.80516)
100: (x,y) = (5.1154,-7.59319)
101: (x,y) = (7.11344,-7.68161)
102: (x,y) = (5.64105,-9.03516)
103: (x,y) = (3.95338,-10.1084)
104: (x,y) = (5.62183,-9.0055)
105: (x,y) = (7.09425,-10.359)
106: (x,y) = (7.69544,-12.2665)
107: (x,y) = (5.69544,-12.2666)
108: (x,y) = (4.48433,-10.675)
109: (x,y) = (2.7508,-9.67753)
110: (x,y) = (4.74297,-9.50073)
111: (x,y) = (3.17851,-8.25475)
112: (x,y) = (4.41755,-6.68479)
113: (x,y) = (4.98487,-8.60264)
114: (x,y) = (6.96228,-8.30289)
115: (x,y) = (8.73825,-9.22264)
116: (x,y) = (10.7157,-8.92288)
117: (x,y) = (12.3841,-7.82003)
118: (x,y) = (10.3994,-7.57289)
119: (x,y) = (9.09215,-9.08649)
120: (x,y) = (11.0893,-8.98032)
121: (x,y) = (11.1866,-6.98269)
122: (x,y) = (11.8882,-8.85559)
123: (x,y) = (10.992,-7.0676)
124: (x,y) = (9.86713,-5.41394)
125: (x,y) = (11.398,-6.70102)
126: (x,y) = (11.7588,-4.73383)
127: (x,y) = (13.7335,-5.05102)
128: (x,y) = (13.2687,-3.10577)
129: (x,y) = (15.2118,-2.63239)
130: (x,y) = (16.5325,-4.13436)
131: (x,y) = (14.8838,-3.0022)
132: (x,y) = (15.5186,-4.89876)
133: (x,y) = (15.4213,-2.90113)
134: (x,y) = (16.9406,-1.60051)
135: (x,y) = (18.9253,-1.35331)
136: (x,y) = (17.5269,-2.7831)
137: (x,y) = (19.5256,-2.7123)
138: (x,y) = (21.4843,-2.308)
139: (x,y) = (23.4711,-2.53757)
140: (x,y) = (24.5813,-4.20112)
141: (x,y) = (24.9943,-6.15802)
142: (x,y) = (22.9943,-6.15808)
143: (x,y) = (23.6458,-4.26719)
144: (x,y) = (25.5971,-3.82828)
145: (x,y) = (26.7655,-5.45149)
146: (x,y) = (27.5655,-7.28451)
147: (x,y) = (26.485,-8.96748)
148: (x,y) = (27.3653,-10.7633)
149: (x,y) = (25.4353,-11.2881)
150: (x,y) = (23.5252,-10.6955)
151: (x,y) = (25.2223,-9.63725)
152: (x,y) = (23.9284,-8.11217)
153: (x,y) = (22.4323,-9.43944)
154: (x,y) = (24.0077,-10.6715)
155: (x,y) = (26.0065,-10.6007)
156: (x,y) = (27.9812,-10.9179)
157: (x,y) = (29.4171,-9.52575)
158: (x,y) = (27.7389,-10.6138)
159: (x,y) = (26.7034,-12.3248)
160: (x,y) = (27.3214,-10.4227)
161: (x,y) = (26.5376,-8.58268)
162: (x,y) = (26.9852,-10.532)
163: (x,y) = (25.1417,-11.3076)
164: (x,y) = (24.3743,-13.1545)
165: (x,y) = (23.824,-15.0773)
166: (x,y) = (21.8259,-15.1658)
167: (x,y) = (20.05,-16.0856)
168: (x,y) = (19.7764,-14.1044)
169: (x,y) = (19.6791,-12.1067)
170: (x,y) = (21.5945,-12.6825)
171: (x,y) = (22.8883,-11.1574)
172: (x,y) = (21.1548,-10.16)
173: (x,y) = (22.741,-8.94182)
174: (x,y) = (24.7382,-8.83565)
175: (x,y) = (25.3055,-10.7535)
176: (x,y) = (24.7212,-8.84075)
177: (x,y) = (26.6464,-8.29888)
178: (x,y) = (27.8575,-6.70723)
179: (x,y) = (29.6724,-5.86689)
180: (x,y) = (28.2364,-4.47478)
181: (x,y) = (29.1325,-2.68676)
182: (x,y) = (30.3435,-1.09511)
183: (x,y) = (29.4317,-2.87513)
184: (x,y) = (30.8799,-4.25448)
185: (x,y) = (29.8142,-5.94692)
186: (x,y) = (30.1227,-7.92298)
187: (x,y) = (30.0785,-9.9225)
188: (x,y) = (32.0778,-9.97554)
189: (x,y) = (30.5245,-11.2354)
190: (x,y) = (31.923,-12.6651)
191: (x,y) = (31.6671,-14.6487)
192: (x,y) = (29.7569,-14.056)
193: (x,y) = (29.275,-15.9971)
194: (x,y) = (30.9336,-17.1146)
195: (x,y) = (30.1991,-18.9748)
196: (x,y) = (30.4022,-16.9851)
197: (x,y) = (28.816,-15.7671)
198: (x,y) = (26.8537,-16.154)
199: (x,y) = (28.7691,-16.7298)
200: (x,y) = (30.3225,-17.9895)
201: (x,y) = (29.5714,-16.1359)
202: (x,y) = (30.9571,-14.6938)
203: (x,y) = (29.5842,-16.1481)
204: (x,y) = (28.6723,-17.9281)
205: (x,y) = (29.9662,-16.403)
206: (x,y) = (31.8541,-15.743)
207: (x,y) = (29.9493,-16.3527)
208: (x,y) = (28.0556,-16.9959)
209: (x,y) = (29.0144,-15.2407)
210: (x,y) = (30.9968,-15.5054)
211: (x,y) = (31.9556,-13.7503)
212: (x,y) = (30.4248,-15.0374)
213: (x,y) = (29.6738,-13.1838)
214: (x,y) = (31.6082,-12.6761)
215: (x,y) = (30.5727,-14.3871)
216: (x,y) = (32.488,-14.9628)
217: (x,y) = (33.7271,-13.3929)
218: (x,y) = (32.722,-15.122)
219: (x,y) = (33.2553,-13.1944)
220: (x,y) = (33.9569,-15.0673)
221: (x,y) = (35.5539,-16.2713)
222: (x,y) = (35.5451,-18.2713)
223: (x,y) = (36.5957,-16.5695)
224: (x,y) = (37.428,-14.7509)
225: (x,y) = (36.9977,-12.7977)
226: (x,y) = (38.8546,-13.5405)
227: (x,y) = (40.419,-12.2945)
228: (x,y) = (39.2079,-10.7029)
229: (x,y) = (37.2424,-10.3334)
230: (x,y) = (36.4101,-8.51476)
231: (x,y) = (35.2706,-10.1584)
232: (x,y) = (36.5913,-11.6604)
233: (x,y) = (38.2977,-12.7035)
234: (x,y) = (40.2409,-12.2301)
235: (x,y) = (40.4792,-10.2444)
236: (x,y) = (42.0437,-8.99836)
237: (x,y) = (44.0261,-9.26306)
238: (x,y) = (44.439,-11.22)
After 238 steps, the subject has the following location:
(m.a) = (45.8336,-0.247311)
 or
(m.a) = (45.8336,-0.247311)
Average outward distance per step = 0.192578
